1773407569.021048 server started (23994): version 3.6a, socket /private/tmp/tmux-501/default, protocol 8
1773407569.021069 on Darwin 25.3.0 Darwin Kernel Version 25.3.0: Wed Jan 28 20:54:46 PST 2026; root:xnu-12377.91.3~2/RELEASE_ARM64_T6000
1773407569.021074 using libevent 2.1.12-stable select
1773407569.021081 using utf8proc 2.11.3
1773407569.021085 using ncurses 6.5 20240427
1773407569.021145 input_key_build: 0x10e003 (PasteStart) is \033[200~
1773407569.021150 input_key_build: 0x10e004 (PasteEnd) is \033[201~
1773407569.021169 input_key_build: 0x10e25b (F1) is \033OP
1773407569.021173 input_key_build: 0x10e25c (F2) is \033OQ
1773407569.021177 input_key_build: 0x10e25d (F3) is \033OR
1773407569.021180 input_key_build: 0x10e25e (F4) is \033OS
1773407569.021183 input_key_build: 0x10e25f (F5) is \033[15~
1773407569.021186 input_key_build: 0x10e260 (F6) is \033[17~
1773407569.021190 input_key_build: 0x10e261 (F7) is \033[18~
1773407569.021193 input_key_build: 0x10e262 (F8) is \033[19~
1773407569.021196 input_key_build: 0x10e263 (F9) is \033[20~
1773407569.021199 input_key_build: 0x10e264 (F10) is \033[21~
1773407569.021203 input_key_build: 0x10e265 (F11) is \033[23~
1773407569.021207 input_key_build: 0x10e266 (F12) is \033[24~
1773407569.021211 input_key_build: 0x10e267 (IC) is \033[2~
1773407569.021215 input_key_build: 0x10e268 (DC) is \033[3~
1773407569.021218 input_key_build: 0x10e269 (Home) is \033[1~
1773407569.021222 input_key_build: 0x10e26a (End) is \033[4~
1773407569.021225 input_key_build: 0x10e26b (NPage) is \033[6~
1773407569.021228 input_key_build: 0x10e26c (PPage) is \033[5~
1773407569.021233 input_key_build: 0x10e26d (BTab) is \033[Z
1773407569.021236 input_key_build: 0x10e26e (Up) is \033[A
1773407569.021240 input_key_build: 0x10e26f (Down) is \033[B
1773407569.021243 input_key_build: 0x10e270 (Left) is \033[D
1773407569.021247 input_key_build: 0x10e271 (Right) is \033[C
1773407569.021251 input_key_build: 0x10e272 (KP/) is /
1773407569.021254 input_key_build: 0x10e273 (KP*) is *
1773407569.021257 input_key_build: 0x10e274 (KP-) is -
1773407569.021261 input_key_build: 0x10e275 (KP7) is 7
1773407569.021264 input_key_build: 0x10e276 (KP8) is 8
1773407569.021267 input_key_build: 0x10e277 (KP9) is 9
1773407569.021270 input_key_build: 0x10e278 (KP+) is +
1773407569.021273 input_key_build: 0x10e279 (KP4) is 4
1773407569.021276 input_key_build: 0x10e27a (KP5) is 5
1773407569.021279 input_key_build: 0x10e27b (KP6) is 6
1773407569.021282 input_key_build: 0x10e27c (KP1) is 1
1773407569.021286 input_key_build: 0x10e27d (KP2) is 2
1773407569.021289 input_key_build: 0x10e27e (KP3) is 3
1773407569.021292 input_key_build: 0x10e27f (KPEnter) is \n
1773407569.021296 input_key_build: 0x10e280 (KP0) is 0
1773407569.021299 input_key_build: 0x10e281 (KP.) is .
1773407569.021303 input_key_build: 0x10e282 (Invalid#10e282) is \033[?997;1n
1773407569.021307 input_key_build: 0x10e283 (Invalid#10e283) is \033[?997;2n
1773407569.021310 input_key_build: 0x20000010e25b (C-F1) is \033[1;5P
1773407569.021314 input_key_build: 0x20000010e25c (C-F2) is \033[1;5Q
1773407569.021317 input_key_build: 0x20000010e25d (C-F3) is \033[1;5R
1773407569.021320 input_key_build: 0x20000010e25e (C-F4) is \033[1;5S
1773407569.021324 input_key_build: 0x20000010e25f (C-F5) is \033[15;5~
1773407569.021327 input_key_build: 0x20000010e260 (C-F6) is \033[17;5~
1773407569.021332 input_key_build: 0x20000010e261 (C-F7) is \033[18;5~
1773407569.021335 input_key_build: 0x20000010e262 (C-F8) is \033[19;5~
1773407569.021338 input_key_build: 0x20000010e263 (C-F9) is \033[20;5~
1773407569.021342 input_key_build: 0x20000010e264 (C-F10) is \033[21;5~
1773407569.021345 input_key_build: 0x20000010e265 (C-F11) is \033[23;5~
